typical_day_id,hour,weight_days,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,pv_used_kw,pv_curtail_kw,wind_used_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_fuel_cell_kg,fuel_cell_power_kw,carbon_emission_kg
TD_WINTER,4,120,5040.0,7830.000000000001,20.0,0.0,0.0,-0.0,11062.203388523048,328.7367329266017,2610.0000000000005,7830.000000000001,0.0,-0.0,508.2484560953535,0.0,918.7645353469354,2903.954932427696,55.845287162071074,35.845287162071074,0.0,321.0638870548094,0.0,-0.0,0.0,-0.0
TD_WINTER,5,120,5460.0,8100.000000000001,25.0,0.0,116.09412644053874,0.0,10952.827039855432,0.0,2700.0000000000005,8100.000000000001,0.0,-0.0,4.966233868275594,0.0,923.4824575217925,2903.954932427696,55.84528716207108,30.84528716207108,0.0,351.9091742168805,0.0,-0.0,0.0,-0.0
TD_WINTER,6,120,6510.0,8775.0,40.0,0.0,696.5647586432325,0.0,10076.600876666998,0.0,2925.0,8775.0,0.0,-0.0,0.0,369.0598785503494,534.9983748372142,1707.2255138605806,32.831259881934244,0.0,7.168740118065758,344.7404340988147,0.0,-0.0,0.0,-0.0
TD_WINTER,7,120,7350.0,9450.0,50.0,0.0,1741.4118966080812,0.0,8762.261631884347,0.0,3150.0,9450.0,-0.0,-0.0,0.0,508.2484560953535,-0.0,511.9219845877807,9.844653549765013,0.0,40.15534645023499,304.5850876485797,0.0,-0.0,0.0,-0.0
TD_WINTER,8,120,7980.0,9180.0,55.0,0.0,3192.5884771148158,0.0,7886.035468695911,0.0,3060.0,9180.0,0.0,-0.0,0.0,0.0,-0.0,38.6239458107265,0.7427681886678172,0.0,54.25723181133218,250.32785583724745,0.0,-0.0,0.0,-0.0
TD_WINTER,9,120,8505.0,8100.000000000001,55.0,0.0,4353.529741520203,0.0,7009.809305507477,0.0,2700.0000000000005,8100.000000000001,0.0,-0.0,0.0,0.0,-0.0,158.339047027681,3.04498167360925,0.0,51.95501832639075,198.37283751085673,0.0,-0.0,0.0,-0.0
TD_WINTER,10,120,8715.0,7020.000000000001,45.0,0.0,5108.141563383705,0.0,6571.696223913259,0.0,2340.0000000000005,7020.000000000001,0.0,-0.0,0.0,0.0,0.0,624.837787296964,12.016111294172386,0.0,32.98388870582761,165.38894880502912,0.0,-0.0,0.0,-0.0
TD_WINTER,11,120,8610.0,6480.0,35.0,2025.9007841830626,5514.47100592559,0.0,6133.583142319043,0.0,2160.0,6480.0,0.0,-0.0,0.0,0.0,-0.0,2903.954932427696,55.845287162071074,20.845287162071074,0.0,186.2342359671002,0.0,-0.0,0.0,1312.5811180722062
TD_WINTER,12,120,8400.0,6210.0,30.0,1578.0230186901927,5224.235689824244,0.0,6571.696223913259,0.0,2070.0,6210.0,0.0,-0.0,-0.0,0.0,0.0,2903.954932427696,55.845287162071074,25.845287162071074,0.0,212.0795231291713,0.0,-0.0,0.0,1022.4011138093758
TD_WINTER,13,120,8295.0,6210.0,30.0,1757.1999554409972,4527.670931181011,0.0,7447.922387101695,0.0,2070.0,6210.0,0.0,-0.0,463.83834129600706,0.0,440.6464242312067,2903.954932427696,55.845287162071074,25.845287162071074,0.0,237.92481029124238,0.0,-0.0,0.0,1138.4898511302222
